1|3|Vanica|F|192344544|12|2|2004|12|2|2005|E|5|1|
2|1|Jason|M|126886018|11|2|2023|11|2|2026|A|10|1000|
3|1|Cason|M|123456789|12|2|2022|12|2|2025|A|10|100|
4|2|Nikka|F|121113333|12|12|2003|12|12|2005|E|7|100|
5|3|Moon|M|120334456|21|3|2022|21|3|2023|A|5|100|
6|1|Max|M|123456789|29|4|2023|29|4|2026|A|10|199|
7|1|Ryan|M|125556789|30|4|2023|30|4|2026|A|10|100|
8|1|Laurel|F|123445678|30|4|2023|30|4|2026|A|10|100|
9|1|Nancy|F|123335988|30|4|2023|30|4|2026|A|10|100|
10|2|Nelson|F|127775988|30|4|2023|30|4|2026|A|10|100|
21|1|Lucas|M|123450987|15|11|2022|14|11|2025|E|20|200|
22|3|Chloe|F|134567891|15|12|2022|14|12|2023|E|5|50|
23|2|William|M|145678912|1|1|2024|31|12|2026|A|15|150|
24|1|Emma|F|156789023|1|2|2024|29|2|2027|A|10|100|
25|3|Michael|M|167890134|15|3|2023|14|3|2024|A|5|25|
26|2|Abigail|F|178901245|15|4|2023|14|4|2025|A|10|100|
27|1|Hannah|F|189012356|1|5|2023|31|12|2023|E|5|50|
28|3|Daniel|M|190123467|15|6|2022|14|6|2023|E|5|25|
29|2|Sophie|F|101234578|15|7|2022|14|7|2024|A|15|125|
30|1|Henry|M|112345689|1|8|2023|31|7|2024|A|10|100|
